Brand,Model,CPU,RAM (GB),Storage (GB),GPU,Purpose,Price ($),Screen (in),OS,Weight (kg),Battery Life (hrs),Release Year,Color
Microsoft,Surface Laptop 5,Intel i7,16,512,Intel Iris Xe,Professional,1599.99,13.5,Windows 11,1.3,12,2024,Platinum
Dell,Precision 5760,Intel i9,32,1000,NVIDIA RTX A2000,Professional,2699.99,17,Windows 11,2,8,2024,Black
Apple,MacBook Pro 13 M2,Apple M2,16,512,Apple GPU,Professional,1799,13.3,macOS,1.4,18,2024,Space Gray
Lenovo,ThinkPad X1 Carbon,Intel i7,16,512,Intel Iris Xe,Business,1799,14,Windows 11,1.13,14,2024,Black
ASUS,ZenBook 14X OLED,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499,14.5,Windows 11,1.4,10,2024,Ponder Blue
Acer,Predator Helios 16,Intel i9,32,2000,NVIDIA RTX 4060,Gaming/Workstation,2399.99,16,Windows 11,2.5,6,2024,Black
MSI,GS66 Stealth,Intel i7,16,512,NVIDIA RTX 3070,Gaming,2199,15.6,Windows 11,2.1,9,2024,Black
Samsung,Galaxy Book Pro 2,Intel i5,8,256,Intel Iris Xe,Hybrid Use,999.99,13.3,Windows 11,1.1,12,2024,Mystic Silver
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1799,13.5,Windows 11,1.3,12,2024,Nightfall Black
Gigabyte,Aero 15 OLED,Intel i7,32,1000,NVIDIA RTX 3080,Content Creation,2499,15.6,Windows 11,2,8,2024,Space Gray
Microsoft,Surface Book 4,Intel i7,16,512,NVIDIA GTX 1650,Professional,1799.99,13.5,Windows 11,1.7,12,2024,Platinum
Dell,Alienware x17,Intel i9,32,1000,NVIDIA RTX 3080 Ti,Gaming,3499.99,17.3,Windows 11,2.5,7,2024,Lunar Light
Apple,MacBook Air M2,Apple M2,8,256,Apple GPU,Student Use,1099,13.3,macOS,1.2,18,2024,Starlight
Lenovo,Legion 5 Pro,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1399,16,Windows 11,2.4,8,2024,Phantom Blue
ASUS,ROG Zephyrus G14,AMD Ryzen 9,32,1000,NVIDIA RTX 3080,Gaming,2499,14,Windows 11,1.7,10,2024,Eclipse Gray
Acer,Nitro 5,Intel i7,16,512,NVIDIA RTX 3050,Gaming,1099.99,15.6,Windows 11,2.3,7,2024,Black
MSI,GP66 Leopard,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.3,8,2024,Black
Lenovo,ThinkPad X1 Extreme,Intel i9,32,1000,NVIDIA GTX 1650 Ti,Business/Work,2599.99,15.6,Windows 11,2.1,9,2024,Black
HP,Elite Dragonfly,Intel i7,16,512,Intel Iris Xe,Business,1999.99,13.3,Windows 11,0.98,14,2024,Sparkling Ash
Gigabyte,AORUS 15G,Intel i7,32,512,NVIDIA RTX 3060,Gaming/Workstation,1799,15.6,Windows 11,2.3,7,2024,Black
Samsung,Galaxy Book Pro 360,Intel i7,8,512,Intel Iris Xe,Hybrid Use,1399.99,13.3,Windows 11,1.4,12,2024,Mercury Gray
Apple,MacBook Pro 14 M2,Apple M2,16,512,Apple GPU,Professional,1999,14,macOS,1.6,17,2024,Space Gray
ASUS,ZenBook Duo 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,14,Windows 11,1.6,10,2024,Gaia Green
Dell,XPS 13,Intel i7,16,512,Intel Iris Xe,Professional,1499,13.4,Windows 11,1.2,9,2024,Platinum Silver
HP,Spectre x360,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1699.99,13.3,Windows 11,1.3,8.5,2024,Nightfall Black
Lenovo,Yoga 7i,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1399,14,Windows 11,1.3,8.5,2024,Abyss Blue
Apple,MacBook Air M2,Apple M2,8,256,Apple GPU,Professional,1199,13.6,macOS,1.29,9.5,2024,Starlight
Acer,Swift 3,Intel i5,8,512,Intel Iris Xe,Student/Work,899,14,Windows 11,1.3,8,2024,Silver
ASUS,ZenBook 14,Intel i5,16,512,Intel Iris Xe,Professional,1299,14,Windows 11,1.2,8.5,2024,Royal Blue
MSI,Modern 14,Intel i7,16,512,Intel Iris Xe,Student/Work,1199,14,Windows 11,1.3,8,2024,Carbon Gray
HP,Omen 16,Intel i7,32,1000,NVIDIA RTX 3060,Gaming,1899,16.1,Windows 11,2.3,9,2024,Shadow Black
Dell,Alienware M15,Intel i7,32,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,2.5,9,2024,Lunar Light
Lenovo,Legion 5i,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1399,15.6,Windows 11,2.3,8.5,2024,Phantom Black
ASUS,TUF Dash F15,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.3,8.5,2024,Eclipse Gray
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1899,15.6,Windows 11,2.5,9.5,2024,Black
Microsoft,Surface Laptop 4,Intel i5,8,256,Intel Iris Xe,Professional,1099,13.5,Windows 11,1.3,8.5,2024,Platinum
Dell,Inspiron 15,Intel i5,8,512,Intel UHD Graphics,Student/Work,799,15.6,Windows 11,1.9,7.5,2024,Silver
Lenovo,ThinkPad L15,Intel i5,8,512,Intel UHD Graphics,Business,849,15.6,Windows 11,1.9,7.5,2024,Black
MSI,GF63 Thin,Intel i5,8,512,NVIDIA GTX 1650,Gaming,1099,15.6,Windows 11,1.9,8,2024,Black
HP,Pavilion 15,Intel i7,16,512,Intel Iris Xe,Student/Work,1099,15.6,Windows 11,1.8,8,2024,Blue
Apple,MacBook Pro 16 M2,Apple M2 Pro,32,512,Apple GPU,Professional,2499,16.2,macOS,2.1,9.5,2024,Space Gray
ASUS,ROG Flow Z13,Intel i7,16,512,NVIDIA RTX 3050,Gaming,1599,13.4,Windows 11,1.1,8.5,2024,Off Black
Acer,Aspire 5,Intel i5,8,512,Intel UHD Graphics,Student/Work,799,15.6,Windows 11,1.7,7,2024,Silver
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2799,17.3,Windows 11,2.9,9.5,2024,Titanium Gray
Dell,G15 Gaming,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.5,8.5,2024,Eclipse Gray
Lenovo,ThinkPad X1 Carbon,Intel i7,16,512,Intel Iris Xe,Professional,2199,14,Windows 11,1.1,9.5,2024,Black
ASUS,VivoBook S15,Intel i5,16,512,Intel Iris Xe,Student/Work,899,15.6,Windows 11,1.8,7.5,2024,Silver
Apple,MacBook Pro 14 M1,Apple M1 Pro,16,512,Apple GPU,Professional,1899,14,macOS,1.6,9.5,2024,Space Gray
Microsoft,Surface Laptop Go 3,Intel i5,8,128,Intel UHD Graphics,Hybrid Use,649,12.4,Windows 11,1.1,7,2024,Platinum
ASUS,ExpertBook P1,Intel i3,8,512,Intel UHD Graphics,Business,699,15.6,Windows 11,1.8,7.5,2024,Black
Dell,Latitude 5420,Intel i5,16,512,Intel Iris Xe,Business,1299,14,Windows 11,1.6,8.5,2024,Black
Lenovo,IdeaPad 3,Intel i5,8,512,Intel UHD Graphics,Student/Work,649,15.6,Windows 11,1.7,7,2024,Blue
Acer,Aspire 7,AMD Ryzen 5,16,512,NVIDIA GTX 1650,Gaming,1099,15.6,Windows 11,2,8.5,2024,Silver
HP,EliteBook 840 G7,Intel i5,16,512,Intel UHD Graphics,Business,1299,14,Windows 11,1.5,8.5,2024,Silver
MSI,Creator 15,Intel i7,32,512,NVIDIA RTX 3060,Content Creation,1999,15.6,Windows 11,2.1,9,2024,Space Gray
Apple,MacBook Pro 16 M2,Apple M2 Pro,32,512,Apple GPU,Professional,2499,16,macOS,2.1,9.5,2024,Space Gray
ASUS,ZenBook Flip 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,14,Windows 11,1.5,9,2024,Gray
Lenovo,ThinkPad L14,Intel i5,8,512,Intel UHD Graphics,Business,749,14,Windows 11,1.8,7.5,2024,Black
HP,ProBook 440 G7,Intel i5,8,256,Intel UHD Graphics,Business,749,14,Windows 11,1.6,7.5,2024,Silver
Dell,Precision 5550,Intel i7,16,512,NVIDIA Quadro T1000,Professional,1899,15.6,Windows 11,1.8,9,2024,Black
Apple,MacBook Pro 14 M1,Apple M1 Pro,16,512,Apple GPU,Professional,1799,14,macOS,1.6,9.5,2024,Space Gray
ASUS,ROG Strix G17,AMD Ryzen 9,32,1000,NVIDIA RTX 3080,Gaming,2399,17.3,Windows 11,2.8,9,2024,Eclipse Gray
MSI,Pulse GL66,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.4,8.5,2024,Black
Lenovo,ThinkPad P1,Intel i7,32,512,NVIDIA Quadro T1000,Workstation,2199,15.6,Windows 11,1.8,9.5,2024,Black
Microsoft,Surface Laptop 5,Intel i7,16,512,Intel Iris Xe,Business,1599.99,15,Windows 11,1.5,10,2024,Platinum
Dell,Alienware X14,Intel i9,32,1000,NVIDIA RTX 3060,Gaming,2299.99,14,Windows 11,1.8,9,2024,Lunar Light
Apple,MacBook Pro 14 M2,Apple M2,16,512,Apple GPU,Professional Use,1999,14.2,macOS,1.6,17,2024,Space Gray
Lenovo,ThinkPad X1 Carbon Gen 11,Intel i7,16,512,Intel Iris Xe,Business,1799,14,Windows 11,1.1,15,2024,Black
ASUS,ROG Flow Z13,Intel i9,16,512,NVIDIA RTX 4050,Gaming,2299.99,13.4,Windows 11,1.2,12,2024,Eclipse Gray
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1699,15.6,Windows 11,2,8,2024,Black Edition
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2899,17.3,Windows 11,2.4,7,2024,Titanium Gray
Samsung,Book Pro 360,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499,13.3,Windows 11,1.3,13,2024,Silver
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Business,1599.99,14,Windows 11,1.4,12,2024,Nightfall Black
Gigabyte,Aero 15 OLED,Intel i7,16,1000,NVIDIA RTX 3060,Content Creation,1999,15.6,Windows 11,2,8,2024,Black
Huawei,MateBook X Pro,Intel i7,16,512,Intel Iris Xe,Business,1799.99,13.9,Windows 11,1.3,14,2024,Space Gray
Lenovo,Legion 5 Pro,AMD Ryzen 9,32,1000,NVIDIA RTX 3070,Gaming,2099,16,Windows 11,2.5,6,2024,Phantom Blue
Dell,Inspiron 14 5000,Intel i5,8,512,Intel Iris Xe,Student Use,899.99,14,Windows 11,1.4,10,2024,Silver
ASUS,ZenBook 14,Intel i7,16,512,Intel Iris Xe,Business,1499,14,Windows 11,1.2,12,2024,Jade Black
MSI,GF63 Thin,Intel i5,8,512,NVIDIA GTX 1650,Casual Gaming,799.99,15.6,Windows 11,1.8,6,2024,Black
Microsoft,Surface Book 4,Intel i7,16,512,NVIDIA GTX 1650,Creative Work,1799.99,15,Windows 11,1.7,10,2024,Cobalt Blue
Apple,MacBook Pro 16 M1,Apple M1,16,512,Apple GPU,Professional Use,2499,16.2,macOS,2.1,21,2024,Silver
Acer,Aspire 5,Intel i5,8,512,Intel UHD,Everyday Use,699,15.6,Windows 11,1.6,7,2024,Charcoal Black
HP,Pavilion x360,Intel i5,8,512,Intel Iris Xe,Hybrid Use,849.99,14,Windows 11,1.5,9,2024,Natural Silver
Dell,XPS 15,Intel i9,32,1000,NVIDIA GTX 1650,Content Creation,2399,15.6,Windows 11,2,8,2024,Platinum
Lenovo,IdeaPad Flex 5 14,AMD Ryzen 7,16,512,AMD Radeon,Hybrid Use,1099,14,Windows 11,1.6,10,2024,Platinum Gray
ASUS,TUF Gaming F15,Intel i7,16,512,NVIDIA RTX 3050,Gaming,1499.99,15.6,Windows 11,2.2,8,2024,Fortress Gray
MSI,Stealth 15M,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 11,1.8,8,2024,Carbon Black
Samsung,Galaxy Book2 Pro 360,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1399.99,13.3,Windows 11,1.3,12,2024,Phantom Gray
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Student Use,1299,13.3,macOS,1.4,17,2024,Silver
Lenovo,ThinkPad L15,Intel i5,8,256,Intel UHD,Business,799,15.6,Windows 11,2,10,2024,Black
Dell,G5 15 Gaming,Intel i7,16,512,NVIDIA GTX 1660,Gaming,1299,15.6,Windows 11,2.3,6,2024,Phantom Grey
ASUS,VivoBook 15,Intel i5,8,512,Intel UHD,Everyday Use,649,15.6,Windows 11,1.8,7,2024,Transparent Silver
Acer,Nitro 5,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499.99,15.6,Windows 11,2.3,8,2024,Black
Microsoft,Surface Go 4,Intel i3,4,64,Intel UHD,Portability,499.99,10.5,Windows 11,0.4,10,2024,Platinum
Gigabyte,Aero 17 HDR,Intel i9,32,1000,NVIDIA RTX 3080,Content Creation,2499,17.3,Windows 11,2.5,7,2024,Gunmetal Black
MSI,Pulse GL66,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1399,15.6,Windows 11,2.1,7,2024,Black
Lenovo,IdeaPad 5,AMD Ryzen 5,8,512,AMD Radeon,Everyday Use,649.99,14,Windows 11,1.4,10,2024,Abyss Blue
HP,Elite Dragonfly,Intel i5,16,512,Intel UHD,Business,1699,13.3,Windows 11,1,16,2024,Grape Purple
ASUS,ZenBook 13 OLED,Intel i7,16,512,Intel Iris Xe,Business,1499,13.3,Windows 11,1.1,14,2024,Pine Gray
Samsung,Galaxy Book3 360,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1299,13.3,Windows 11,1.3,12,2024,Burgundy
Microsoft,Surface Pro 8,Intel i5,8,256,Intel Iris Xe,Portability,999,13,Windows 11,0.8,11,2024,Platinum
Lenovo,Yoga Slim 7i,Intel i7,16,512,Intel Iris Xe,Everyday Use,1099.99,14,Windows 11,1.3,14,2024,Slate Grey
Apple,MacBook Pro 15 M1 Pro,Apple M1 Pro,16,512,Apple GPU,Creative Work,2399,15,macOS,2,20,2024,Space Gray
Microsoft,Surface Laptop 5,Intel i7,16,512,Intel Iris Xe,Productivity,1699,15,Windows 11,1.3,11,2024,Platinum
Dell,XPS 13 2-in-1,Intel i5,8,256,Intel Iris Xe,Hybrid Use,1499,13.4,Windows 11,1.2,10,2024,White
Apple,MacBook Pro 14 M2,Apple M2,16,512,Apple GPU,Professional Use,1999,14.2,macOS,1.6,17,2024,Space Gray
Lenovo,ThinkPad X1 Carbon Gen 11,Intel i7,16,512,Intel Iris Xe,Business Use,2299,14,Windows 11,1.1,15,2024,Black
ASUS,ZenBook 14 OLED,Intel i7,16,512,Intel Iris Xe,Travel,1599,14,Windows 11,1.2,14,2024,Royal Blue
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,2,7,2024,Black
MSI,Stealth 15M,Intel i7,16,512,NVIDIA RTX 3060,Gaming/Workstation,1699,15.6,Windows 11,1.7,8,2024,Carbon Black
Samsung,Galaxy Book Pro 360,Intel i5,8,256,Intel Iris Xe,Hybrid Use,1399.99,13.3,Windows 11,1.1,12,2024,Mystic Navy
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1899,13.5,Windows 11,1.3,14,2024,Nightfall Black
Gigabyte,Aero 16,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2499,16,Windows 11,2,6,2024,Titanium Grey
Razer,Blade 14,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming,2199,14,Windows 11,1.8,7,2024,Mercury
Lenovo,Legion 5i,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.3,9,2024,Phantom Blue
Dell,Inspiron 14 5000,Intel i5,8,512,Intel UHD Graphics,Everyday Use,899,14,Windows 11,1.4,10,2024,Platinum Silver
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA GTX 1650,Gaming,1199,15.6,Windows 11,2.3,8,2024,Fortress Gray
Acer,Aspire 5,Intel i7,8,512,Intel Iris Xe,Budget,849,15.6,Windows 11,1.5,11,2024,Charcoal Black
MSI,GF65 Thin,Intel i7,16,512,NVIDIA GTX 1660 Ti,Gaming,1299,15.6,Windows 11,1.8,9,2024,Red
Samsung,Galaxy Book2 Pro 360,Intel i7,16,512,Intel Iris Xe,Business,1699.99,13.3,Windows 11,1.3,10,2024,Silver
HP,Envy 13,Intel i5,8,256,Intel Iris Xe,Lightweight Use,1099.99,13.3,Windows 11,1.3,12,2024,Silver
Lenovo,IdeaPad 5,Intel i5,8,512,Intel Iris Xe,Everyday Use,899.99,14,Windows 11,1.4,11,2024,Platinum Grey
Apple,MacBook Pro 16 M2,Apple M2,32,512,Apple GPU,Professional Use,2499,16.2,macOS,2.1,18,2024,Space Gray
ASUS,Vivobook Pro 16 OLED,Intel i9,16,512,NVIDIA RTX 3050,Content Creation,1799,16,Windows 11,2.1,8,2024,Indie Black
MSI,Creator 15,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2499,15.6,Windows 11,2,7,2024,Carbon Black
Acer,Nitro 5,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1099,15.6,Windows 11,2.3,9,2024,Shale Black
Gigabyte,Aorus 15G,Intel i7,32,1000,NVIDIA RTX 3070,Gaming/Workstation,2199,15.6,Windows 11,2.1,7,2024,Gunmetal Grey
Dell,Alienware X17,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2799,17.3,Windows 11,2.5,6,2024,Lunar Light
HP,Pavilion x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1399,14,Windows 11,1.6,10,2024,Modern Silver
ASUS,ROG Flow Z13,Intel i7,16,512,NVIDIA RTX 3050,Gaming,1899,13.4,Windows 11,1.1,8,2024,Eclipse Gray
Lenovo,Legion Slim 7,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming/Workstation,1799,15.6,Windows 11,1.9,9,2024,Storm Gray
Acer,Swift 5,Intel i7,16,512,Intel Iris Xe,Ultrabook,1699,14,Windows 11,1.2,12,2024,Mist Green
MSI,GS66 Stealth,Intel i7,16,512,NVIDIA RTX 3070,Gaming,2299,15.6,Windows 11,2.1,7,2024,Black
Dell,G15 5510,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1499,15.6,Windows 11,2.4,8,2024,Phantom Grey
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Lightweight Use,1299,13.3,macOS,1.4,14,2024,Starlight
Lenovo,ThinkPad L15,Intel i5,8,256,Intel UHD Graphics,Budget,649,15.6,Windows 11,1.8,10,2024,Black
HP,Elite Dragonfly G3,Intel i5,8,512,Intel Iris Xe,Business,1799,13.3,Windows 11,1.1,12,2024,Dragonfly Blue
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2499,17.3,Windows 11,2.5,6,2024,Titanium Gray
Gigabyte,G5 AE,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1299,15.6,Windows 11,2.3,8,2024,Black
Apple,MacBook Air M2,Apple M2,16,512,Apple GPU,Student Use,1399,13.6,macOS,1.2,18,2024,Midnight
Dell,Latitude 7320,Intel i5,8,512,Intel Iris Xe,Business,1799,13.3,Windows 11,1.2,12,2024,Black
Lenovo,Flex 5 14,AMD Ryzen 7,16,512,AMD Radeon Vega,Hybrid Use,1099,14,Windows 11,1.5,10,2024,Graphite
ASUS,TUF Gaming F15,Intel i7,16,512,NVIDIA GTX 1660 Ti,Gaming,1299,15.6,Windows 11,2.3,9,2024,Bonfire Black
MSI,Alpha 15,AMD Ryzen 7,16,512,AMD Radeon RX 6600M,Gaming,1199,15.6,Windows 11,2.4,8,2024,Black
Dell,Vostro 14 5000,Intel i5,8,256,Intel UHD Graphics,Budget,849,14,Windows 11,1.6,10,2024,Black
Acer,ConceptD 7 Pro,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2999,15.6,Windows 11,2.1,6,2024,Moonstone White
ASUS,ROG Strix Scar 15,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2999,15.6,Windows 11,2.4,7,2024,Electro Punk
MSI,GE66 Raider,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2,8,2024,Black
ASUS,VivoBook 15,Intel i5,8,512,Intel Iris Xe,Everyday Use,749,15.6,Windows 11,1.8,9,2024,Transparent Silver
HP,Pavilion 15,Intel i7,16,512,Intel Iris Xe,Everyday Use,1199,15.6,Windows 11,2,10,2024,Ceramic White
Lenovo,ThinkPad L14,Intel i5,8,256,Intel UHD,Budget,749,14,Windows 11,1.7,10,2024,Black
Apple,MacBook Pro 13 M2,Apple M2,8,256,Apple GPU,Lightweight Use,1299,13.3,macOS,1.4,14,2024,Starlight
ASUS,TUF Dash F15,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,2,8,2024,Eclipse Grey
Dell,Inspiron 13 5000,Intel i5,8,256,Intel UHD,Everyday Use,849,13.3,Windows 11,1.4,11,2024,Platinum Silver
HP,Elite Dragonfly,Intel i5,16,512,Intel Iris Xe,Business,1599,13.3,Windows 11,1.1,12,2024,Dragonfly Blue
Lenovo,IdeaPad 3 15,AMD Ryzen 5,8,512,AMD Radeon Vega,Everyday Use,699,15.6,Windows 11,1.7,9,2024,Abyss Blue
ASUS,ZenBook Flip 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1399,14,Windows 11,1.4,12,2024,Pine Grey
Acer,Swift 3,AMD Ryzen 5,8,512,Radeon Vega 7,Ultrabook,799,14,Windows 11,1.2,13,2024,Silver
MSI,GF63 Thin 11SC,Intel i5,8,512,NVIDIA GTX 1650,Gaming,999,15.6,Windows 11,1.9,8,2024,Black
Dell,Latitude 7410 2-in-1,Intel i7,16,512,Intel Iris Xe,Business,1799,14,Windows 11,1.3,10,2024,Silver
Lenovo,Legion Y7000,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1199,15.6,Windows 11,2.3,7,2024,Phantom Black
MSI,Stealth GS66,Intel i7,32,512,NVIDIA RTX 3070,Gaming/Workstation,2299,15.6,Windows 11,2,7,2024,Carbon Black
Apple,MacBook Air M2,Apple M2,16,512,Apple GPU,Student Use,1399,13.6,macOS,1.2,18,2024,Midnight
HP,Omen 15,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.3,8,2024,Shadow Black
Dell,XPS 13 Plus,Intel i7,16,512,Intel Iris Xe,Productivity,1799,13.4,Windows 11,1.2,11,2024,Platinum
ASUS,ROG Zephyrus G14,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Gaming,1999,14,Windows 11,1.7,9,2024,Eclipse Gray
Lenovo,ThinkPad X1 Carbon Gen 9,Intel i7,16,512,Intel Iris Xe,Business,2299,14,Windows 11,1.1,15,2024,Black
MSI,Creator 17,Intel i9,32,1000,NVIDIA RTX 3070,Content Creation,2499,17.3,Windows 11,2.5,6,2024,Titan Gray
Acer,Predator Helios 300,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,2,7,2024,Black
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1899,13.5,Windows 11,1.3,14,2024,Nightfall Black
ASUS,Vivobook Pro 14,Intel i7,16,512,Intel Iris Xe,Productivity,1199,14,Windows 11,1.5,12,2024,Solar Silver
Lenovo,ThinkPad P1 Gen 4,Intel i9,32,1000,NVIDIA RTX 3070,Workstation,2599,15.6,Windows 11,2.1,8,2024,Black
Acer,Swift 5,Intel i7,16,512,Intel Iris Xe,Ultrabook,1699,14,Windows 11,1.2,12,2024,Mist Green
MSI,GF65 Thin,Intel i7,16,512,NVIDIA GTX 1660 Ti,Gaming,1299,15.6,Windows 11,1.8,9,2024,Red
Dell,Alienware X17,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,2799,17.3,Windows 11,2.5,6,2024,Lunar Light
HP,Envy 13,Intel i5,8,256,Intel Iris Xe,Lightweight Use,1099.99,13.3,Windows 11,1.3,12,2024,Silver
Lenovo,ThinkPad L15,Intel i5,8,256,Intel UHD,Budget,749,15.6,Windows 11,1.9,10,2024,Black
ASUS,VivoBook 14,AMD Ryzen 5,8,512,AMD Radeon Vega,Everyday Use,699,14,Windows 11,1.5,8,2024,Quiet Blue
MSI,Summit E14,Intel i7,16,512,Intel Iris Xe,Productivity,1599,14,Windows 11,1.6,10,2024,Carbon Black
HP,Omen 16,AMD Ryzen 7,16,512,NVIDIA RTX 3070,Gaming,1799,16.1,Windows 11,2.3,8,2024,Phantom Grey
Dell,XPS 13,Intel i5,8,256,Intel Iris Xe,Productivity,1299,13.4,Windows 11,1.2,11,2024,Black
Lenovo,Yoga 7i 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1299,14,Windows 11,1.5,12,2024,Storm Grey
ASUS,ROG Flow Z13,Intel i7,16,512,NVIDIA RTX 3050,Gaming/Hybrid,1999,13.4,Windows 11,1.1,9,2024,Black
Acer,Nitro 5,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1399,15.6,Windows 11,2.3,7,2024,Black
Dell,Inspiron 14 5000,Intel i7,16,512,Intel Iris Xe,Everyday Use,999,14,Windows 11,1.6,9,2024,Black
HP,Spectre x360 13,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,13.3,Windows 11,1.3,12,2024,Nightfall Black
MSI,GE76 Raider,Intel i9,32,1000,NVIDIA RTX 3080,Gaming/Workstation,3199,17.3,Windows 11,2.9,6,2024,Black
Lenovo,ThinkPad X1 Yoga Gen 6,Intel i7,16,512,Intel Iris Xe,Business,1899,14,Windows 11,1.4,14,2024,Black
Dell,Alienware M15 R6,Intel i9,32,1000,NVIDIA RTX 3080,Gaming,2599,15.6,Windows 11,2.4,6,2024,Dark Side of the Moon
ASUS,ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,2.3,7,2024,Phantom Black
HP,Spectre x360 13.5,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1599,13.5,Windows 11,1.3,12,2024,Nocturne Blue
Acer,Predator Triton 500,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2,8,2024,Abyssal Black
Lenovo,IdeaPad 5 15,Intel i5,8,512,Intel Iris Xe,Everyday Use,899,15.6,Windows 11,1.8,9,2024,Platinum Gray
Dell,XPS 15 9500,Intel i7,16,512,NVIDIA GTX 1650,Productivity,1799,15.6,Windows 11,2,8,2024,Frost Silver
MSI,GF63 Thin 10SCSR,Intel i5,8,512,NVIDIA GTX 1650,Gaming,999,15.6,Windows 11,1.9,7,2024,Black
HP,Omen 15,Intel i7,16,512,NVIDIA RTX 3070,Gaming,1799,15.6,Windows 11,2.3,8,2024,Shadow Black
ASUS,ZenBook Duo 14,Intel i7,16,512,Intel Iris Xe,Productivity,1699,14,Windows 11,1.6,10,2024,Pine Gray
Apple,MacBook Pro 14 M1 Pro,Apple M1 Pro,16,512,Apple GPU,Professional Use,1999,14.2,macOS,1.6,17,2024,Space Gray
Lenovo,ThinkPad L15 Gen 1,Intel i5,8,256,Intel UHD,Budget,699,15.6,Windows 11,1.9,10,2024,Black
Dell,Inspiron 15 5000,Intel i5,8,512,Intel Iris Xe,Everyday Use,799,15.6,Windows 11,1.8,9,2024,Silver
ASUS,VivoBook Pro 15,AMD Ryzen 7,16,512,AMD Radeon Vega,Everyday Use,1099,15.6,Windows 11,1.9,8,2024,Transparent Silver
